CLM,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,4929950027,4006019545
2. Các khoản giảm trừ doanh thu,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,4929950027,4006019545
4. Giá vốn hàng bán,,,4803177511,3922256257
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,126772516,83763288
6.Doanh thu hoạt động tài chính,,,4079491,26911852
7. Chi phí tài chính,,,15956831,12587776
Trong đó :Chi phí lãi vay,,,7253695,11825717
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,25162762,46454276
10. Chi phí quản lý doanh nghiệp,,,25954081,17060502
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,63778332,34572586
12. Thu nhập khác,,,278927,4519354
13. Chi phí khác,,,2084318,1025645
14. Lợi nhuận khác,,,-1805391,3493709
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,61972941,38066295
16. Chi phí thuế TNDN hiện hành,,,14548161,9031789
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,47424781,29034506
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,47424781,29034506
19. Lãi cơ bản trên cổ phiếu (*),,,4311,2640
20. Lãi suy giảm trên cổ phiếu (*),,,,
