TVD,Unnamed: 1,Unnamed: 2,Q2/2024,Q3/2024
Giai đoạn,,,01/04-30/06,01/07-30/09
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,1864676526,1230895433
2. Các khoản giảm trừ doanh thu,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,1864676526,1230895433
4. Giá vốn hàng bán,,,1750973169,1242287825
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,113703357,-11392392
6.Doanh thu hoạt động tài chính,,,415425,434361
7. Chi phí tài chính,,,11437386,10239131
Trong đó :Chi phí lãi vay,,,11437386,10239131
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,3913565,2770638
10. Chi phí quản lý doanh nghiệp,,,54397246,47406118
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,44370586,-71373917
12. Thu nhập khác,,,596440,760263
13. Chi phí khác,,,999407,726828
14. Lợi nhuận khác,,,-402968,33436
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,43967618,-71340482
16. Chi phí thuế TNDN hiện hành,,,8989211,-13997650
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,34978407,-57342832
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,34978407,-57342832
19. Lãi cơ bản trên cổ phiếu (*),,,778,-1275
20. Lãi suy giảm trên cổ phiếu (*),,,,
