TỔNG CỘNG TÀI SẢN,,,1570890441,1611870551
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1217540449,1208609607
I. Nợ ngắn hạn,,,947595087,954897380
1. Phải trả người bán ngắn hạn,,,502378556,543904370
2. Người mua trả tiền trước ngắn hạn,,,63232,178113
3. Thuế và các khoản phải nộp Nhà nước,,,113039403,49857286
4. Phải trả người lao động,,,101923308,126050581
5. Chi phí phải trả ngắn hạn,,,17445,144296
6. Phải trả nội bộ ngắn hạn,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,
9. Phải trả ngắn hạn khác,,,3715923,3724384
10. Vay và nợ thuê tài chính ngắn hạn,,,183075152,208089599
11. Dự phòng phải trả ngắn hạn,,,,
"12. Quỹ khen thưởng, phúc lợi",,,43382067,22948752
13. Quỹ bình ổn giá,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
II. Nợ dài hạn,,,269945362,253712226
1. Phải trả người bán dài hạn,,,,
2. Người mua trả tiền trước dài hạn,,,,
3. Chi phí phải trả dài hạn,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,
5. Phải trả nội bộ dài hạn,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,
7. Phải trả dài hạn khác,,,,
8. Vay và nợ thuê tài chính dài hạn,,,269945362,253712226
9. Trái phiếu chuyển đổi,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,
11. Thuế thu nhập hoãn lại phải trả,,,,
12. Dự phòng phải trả dài hạn,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,
14. Dự phòng trợ cấp mất việc làm,,,,
B. VỐN CHỦ SỞ HỮU,,,353349992,403260944
I. Vốn chủ sở hữu,,,353349992,403260944
1. Vốn góp của chủ sở hữu,,,245690520,245690520
- Cổ phiếu phổ thông có quyền biểu quyết,,,245690520,245690520
- Cổ phiếu ưu đãi,,,,
2. Thặng dư vốn cổ phần,,,-46818,-46818
3. Quyền chọn chuyển đổi trái phiếu,,,,
4. Vốn khác của chủ sở hữu,,,569137,569137
5. Cổ phiếu quỹ (*),,,,
6. Chênh lệch đánh giá lại tài sản,,,,
7. Chênh lệch tỷ giá hối đoái,,,,
8. Quỹ đầu tư phát triển,,,38569844,38569844
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,68567309,118478261
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,47123031
- LNST chưa phân phối kỳ này,,,68567309,71355231
12. Nguồn vốn đầu tư XDCB,,,,
13. Lợi ích cổ đông không kiểm soát,,,,
14. Quỹ dự phòng tài chính,,,,
II. Nguồn kinh phí và quỹ khác,,,,
1. Nguồn kinh phí,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,1570890441,1611870551
