APP,Unnamed: 1,Unnamed: 2,2022,2023
Giai đoạn,,,01/01-31/12,01/01-31/12
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Kiểm toán,Kiểm toán
Công ty kiểm toán,,,VACO,VACO
Ý kiến kiểm toán,,,Chấp nhận từng phần - Ngoại trừ,Chấp nhận từng phần - Ngoại trừ
,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,271693144,201467598
2. Các khoản giảm trừ doanh thu,,,409256,643652
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,271283887,200823945
4. Giá vốn hàng bán,,,247279563,184099713
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,24004325,16724232
6.Doanh thu hoạt động tài chính,,,136234,170924
7. Chi phí tài chính,,,2441974,2284446
Trong đó :Chi phí lãi vay,,,2239369,2175288
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,,,11775950,10065722
10. Chi phí quản lý doanh nghiệp,,,9550895,9058331
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,371741,-4513341
12. Thu nhập khác,,,390010,48355
13. Chi phí khác,,,113119,37163
14. Lợi nhuận khác,,,276891,11192
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,648632,-4502150
16. Chi phí thuế TNDN hiện hành,,,214658,
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,433974,-4502150
Lợi ích của cổ đông thiểu số,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,433974,-4502150
19. Lãi cơ bản trên cổ phiếu (*),,,92,-953
20. Lãi suy giảm trên cổ phiếu (*),,,,
